,BR0100,BR0110,BR0120,BR0130,count,current_drink
1,almost every day,almost every day,almost every day,almost every day,1,TRUE
2,almost every day,almost every day,once or twice a week,once or twice a month,1,TRUE
3,almost every day,almost every day,once or twice a week,less than once a month,1,TRUE
4,almost every day,almost every day,less than once a month,once or twice a month,1,TRUE
5,almost every day,five or six days a week,five or six days a week,less than once a month,1,TRUE
6,almost every day,five or six days a week,not at all in the last 6 months,not at all in the last 6 months,1,TRUE
7,almost every day,three or four days a week,three or four days a week,three or four days a week,1,TRUE
8,almost every day,three or four days a week,less than once a month,not at all in the last 6 months,1,TRUE
9,almost every day,once or twice a week,almost every day,once or twice a month,1,TRUE
10,almost every day,once or twice a week,almost every day,not at all in the last 6 months,1,TRUE
11,almost every day,once or twice a week,once or twice a week,not at all in the last 6 months,1,TRUE
12,almost every day,once or twice a week,once or twice a month,once or twice a month,1,TRUE
13,almost every day,once or twice a month,almost every day,once or twice a week,1,TRUE
14,almost every day,once or twice a month,almost every day,not at all in the last 6 months,1,TRUE
15,almost every day,once or twice a month,once or twice a week,five or six days a week,1,TRUE
16,almost every day,once or twice a month,once or twice a week,not at all in the last 6 months,2,TRUE
17,almost every day,once or twice a month,not at all in the last 6 months,not at all in the last 6 months,2,TRUE
18,almost every day,less than once a month,once or twice a month,once or twice a month,1,TRUE
19,almost every day,less than once a month,once or twice a month,not at all in the last 6 months,2,TRUE
20,almost every day,less than once a month,less than once a month,less than once a month,2,TRUE
21,almost every day,less than once a month,less than once a month,not at all in the last 6 months,2,TRUE
22,almost every day,less than once a month,not at all in the last 6 months,not at all in the last 6 months,1,TRUE
23,almost every day,not at all in the last 6 months,almost every day,three or four days a week,1,TRUE
24,almost every day,not at all in the last 6 months,almost every day,less than once a month,1,TRUE
25,almost every day,not at all in the last 6 months,almost every day,not at all in the last 6 months,2,TRUE
26,almost every day,not at all in the last 6 months,three or four days a week,not at all in the last 6 months,2,TRUE
27,almost every day,not at all in the last 6 months,once or twice a week,three or four days a week,1,TRUE
28,almost every day,not at all in the last 6 months,once or twice a week,once or twice a week,1,TRUE
29,almost every day,not at all in the last 6 months,once or twice a week,once or twice a month,1,TRUE
30,almost every day,not at all in the last 6 months,once or twice a week,not at all in the last 6 months,3,TRUE
31,almost every day,not at all in the last 6 months,once or twice a month,not at all in the last 6 months,1,TRUE
32,almost every day,not at all in the last 6 months,less than once a month,less than once a month,1,TRUE
33,almost every day,not at all in the last 6 months,less than once a month,not at all in the last 6 months,6,TRUE
34,almost every day,not at all in the last 6 months,not at all in the last 6 months,almost every day,2,TRUE
35,almost every day,not at all in the last 6 months,not at all in the last 6 months,once or twice a week,1,TRUE
36,almost every day,not at all in the last 6 months,not at all in the last 6 months,less than once a month,1,TRUE
37,almost every day,not at all in the last 6 months,not at all in the last 6 months,not at all in the last 6 months,25,TRUE
38,five or six days a week,five or six days a week,not at all in the last 6 months,not at all in the last 6 months,2,TRUE
39,five or six days a week,once or twice a month,less than once a month,not at all in the last 6 months,1,TRUE
40,five or six days a week,once or twice a month,not at all in the last 6 months,once or twice a month,1,TRUE
41,five or six days a week,less than once a month,three or four days a week,five or six days a week,1,TRUE
42,five or six days a week,less than once a month,once or twice a month,less than once a month,1,TRUE
43,five or six days a week,less than once a month,less than once a month,less than once a month,1,TRUE
44,five or six days a week,not at all in the last 6 months,once or twice a month,not at all in the last 6 months,1,TRUE
45,five or six days a week,not at all in the last 6 months,not at all in the last 6 months,not at all in the last 6 months,6,TRUE
46,three or four days a week,three or four days a week,once or twice a week,five or six days a week,1,TRUE
47,three or four days a week,three or four days a week,once or twice a week,once or twice a week,1,TRUE
48,three or four days a week,three or four days a week,once or twice a week,once or twice a month,1,TRUE
49,three or four days a week,three or four days a week,once or twice a week,less than once a month,1,TRUE
50,three or four days a week,three or four days a week,once or twice a month,less than once a month,1,TRUE
51,three or four days a week,three or four days a week,not at all in the last 6 months,not at all in the last 6 months,1,TRUE
52,three or four days a week,once or twice a week,three or four days a week,three or four days a week,1,TRUE
53,three or four days a week,once or twice a week,three or four days a week,once or twice a week,2,TRUE
54,three or four days a week,once or twice a week,once or twice a week,three or four days a week,1,TRUE
55,three or four days a week,once or twice a week,once or twice a week,less than once a month,1,TRUE
56,three or four days a week,once or twice a week,once or twice a week,not at all in the last 6 months,1,TRUE
57,three or four days a week,once or twice a week,once or twice a month,once or twice a week,1,TRUE
58,three or four days a week,once or twice a week,not at all in the last 6 months,once or twice a month,1,TRUE
59,three or four days a week,once or twice a week,not at all in the last 6 months,not at all in the last 6 months,1,TRUE
60,three or four days a week,less than once a month,once or twice a week,not at all in the last 6 months,2,TRUE
61,three or four days a week,less than once a month,once or twice a month,less than once a month,1,TRUE
62,three or four days a week,less than once a month,less than once a month,less than once a month,1,TRUE
63,three or four days a week,less than once a month,less than once a month,not at all in the last 6 months,1,TRUE
64,three or four days a week,less than once a month,not at all in the last 6 months,not at all in the last 6 months,3,TRUE
65,three or four days a week,not at all in the last 6 months,once or twice a week,not at all in the last 6 months,2,TRUE
66,three or four days a week,not at all in the last 6 months,once or twice a month,not at all in the last 6 months,3,TRUE
67,three or four days a week,not at all in the last 6 months,less than once a month,not at all in the last 6 months,2,TRUE
68,three or four days a week,not at all in the last 6 months,not at all in the last 6 months,not at all in the last 6 months,13,TRUE
69,once or twice a week,three or four days a week,three or four days a week,once or twice a week,1,TRUE
70,once or twice a week,three or four days a week,once or twice a week,once or twice a week,1,TRUE
71,once or twice a week,three or four days a week,once or twice a week,not at all in the last 6 months,2,TRUE
72,once or twice a week,once or twice a week,three or four days a week,once or twice a week,1,TRUE
73,once or twice a week,once or twice a week,three or four days a week,not at all in the last 6 months,1,TRUE
74,once or twice a week,once or twice a week,once or twice a week,once or twice a week,4,TRUE
75,once or twice a week,once or twice a week,once or twice a week,once or twice a month,2,TRUE
76,once or twice a week,once or twice a week,once or twice a week,less than once a month,2,TRUE
77,once or twice a week,once or twice a week,once or twice a week,not at all in the last 6 months,8,TRUE
78,once or twice a week,once or twice a week,once or twice a month,once or twice a week,1,TRUE
79,once or twice a week,once or twice a week,once or twice a month,once or twice a month,1,TRUE
80,once or twice a week,once or twice a week,once or twice a month,less than once a month,1,TRUE
81,once or twice a week,once or twice a week,once or twice a month,not at all in the last 6 months,8,TRUE
82,once or twice a week,once or twice a week,less than once a month,less than once a month,1,TRUE
83,once or twice a week,once or twice a week,less than once a month,not at all in the last 6 months,2,TRUE
84,once or twice a week,once or twice a week,not at all in the last 6 months,once or twice a month,2,TRUE
85,once or twice a week,once or twice a week,not at all in the last 6 months,not at all in the last 6 months,8,TRUE
