,BR0160,BR0150,count,sedentary
1,more than once a week,more than once a week,968,FALSE
2,more than once a week,once a week,165,FALSE
3,more than once a week,one to three times a month,59,FALSE
4,more than once a week,"hardly ever, or never",329,FALSE
5,more than once a week,don't know,3,FALSE
6,once a week,more than once a week,46,FALSE
7,once a week,once a week,109,FALSE
8,once a week,one to three times a month,28,FALSE
9,once a week,"hardly ever, or never",111,FALSE
10,one to three times a month,more than once a week,17,FALSE
11,one to three times a month,once a week,17,FALSE
12,one to three times a month,one to three times a month,29,FALSE
13,one to three times a month,"hardly ever, or never",53,FALSE
14,"hardly ever, or never",more than once a week,58,FALSE
15,"hardly ever, or never",once a week,31,FALSE
16,"hardly ever, or never",one to three times a month,15,FALSE
17,"hardly ever, or never","hardly ever, or never",553,TRUE
18,don't know,more than once a week,3,FALSE
19,NA,NA,4,NA
