,BR0010,BR0020,BR0030_F,count,smoke_now,smoked_ever
1,yes,yes,less than 1,19,TRUE,TRUE
2,yes,yes,1-10 years,34,TRUE,TRUE
3,yes,yes,11-20 years,116,TRUE,TRUE
4,yes,yes,21-30 years,139,TRUE,TRUE
5,yes,yes,31-40 years,56,TRUE,TRUE
6,yes,yes,41-50 years,32,TRUE,TRUE
7,yes,yes,NA,12,TRUE,TRUE
8,yes,"no, i have stopped",less than 1,160,FALSE,TRUE
9,yes,"no, i have stopped",1-10 years,154,FALSE,TRUE
10,yes,"no, i have stopped",11-20 years,143,FALSE,TRUE
11,yes,"no, i have stopped",21-30 years,106,FALSE,TRUE
12,yes,"no, i have stopped",31-40 years,38,FALSE,TRUE
13,yes,"no, i have stopped",41-50 years,6,FALSE,TRUE
14,yes,"no, i have stopped",51+ years,6,FALSE,TRUE
15,yes,"no, i have stopped",NA,31,FALSE,TRUE
16,no,NA,NA,1542,FALSE,FALSE
17,NA,NA,NA,4,,
